"Branch","Location","Accounting Document No","Document No","Posting Date","Created Date","Created By","Order No","Order Date","Party Code","Party Name","GL Code","GL Name","Transaction Type","Type(Dr/Cr)","Amount","Clearing Document No","Clearing Document Date","Cleared By"
"West Bengal","Barasat","9900000774","INV/06/100000051/2023/FY-2022/23","21-06-2023","21-06-2023 16:01:48","Mr.Guria","-","21-06-2023","0","HAPPIEST MINDS TECHNOLOGIES LIMITED","10101000","Sundry Debtors","Sales","DR","105.00","-","-","-"
"West Bengal","Barasat","9900000774","INV/06/100000051/2023/FY-2022/23","21-06-2023","21-06-2023 16:01:48","Mr.Guria","-","21-06-2023","0","HAPPIEST MINDS TECHNOLOGIES LIMITED","20304005","Output IGST","Sales","CR","-600.00","-","-","-"
"West Bengal","Barasat","9900000774","INV/06/100000051/2023/FY-2022/23","21-06-2023","21-06-2023 16:01:48","Mr.Guria","-","21-06-2023","0","HAPPIEST MINDS TECHNOLOGIES LIMITED","30101000","Domestic Good Sales","Sales","CR","495.00","-","-","-"
"West Bengal","Barasat","9900000773","INV/06/100000051/2023/FY-2022/23","21-06-2023","21-06-2023 16:01:48","Mr.Guria","-","21-06-2023","0","HAPPIEST MINDS TECHNOLOGIES LIMITED","40101000","COGS","Sales","DR","-495.00","-","-","-"
"West Bengal","Barasat","9900000773","INV/06/100000051/2023/FY-2022/23","21-06-2023","21-06-2023 16:01:48","Mr.Guria","-","21-06-2023","0","HAPPIEST MINDS TECHNOLOGIES LIMITED","10102002","FG Inventory","Sales","CR","495.00","-","-","-"
"West Bengal","Barasat","9900000772","INV-0000000032","21-06-2023","21-06-2023 15:56:07","Mr.Guria","-","21-06-2023","0","ACCENTURE SOLUTIONS PRIVATE LIMITED","10101000","Sundry Debtors","Sales","DR","100.00","-","-","-"
"West Bengal","Barasat","9900000772","INV-0000000032","21-06-2023","21-06-2023 15:56:07","Mr.Guria","-","21-06-2023","0","ACCENTURE SOLUTIONS PRIVATE LIMITED","20304006","Output CGST","Sales","CR","0.00","-","-","-"
"West Bengal","Barasat","9900000772","INV-0000000032","21-06-2023","21-06-2023 15:56:07","Mr.Guria","-","21-06-2023","0","ACCENTURE SOLUTIONS PRIVATE LIMITED","20304007","Output SGST","Sales","CR","0.00","-","-","-"
"West Bengal","Barasat","9900000772","INV-0000000032","21-06-2023","21-06-2023 15:56:07","Mr.Guria","-","21-06-2023","0","ACCENTURE SOLUTIONS PRIVATE LIMITED","30101000","Domestic Good Sales","Sales","CR","-100.00","-","-","-"
"West Bengal","Barasat","9900000771","INV-0000000032","21-06-2023","21-06-2023 15:56:07","Mr.Guria","-","21-06-2023","0","ACCENTURE SOLUTIONS PRIVATE LIMITED","40101000","COGS","Sales","DR","100.00","-","-","-"
